MWD	TWD	logMdot	macc	mej	Yenv	Yej	Zenv	Zej	T8max
0.40	10	-9	4.12E-04	4.55E-04	0.2568	0.2579	0.1154	0.1204	0.90
		-10	5.62E-04	6.76E-04	0.2358	0.2364	0.1832	0.1893	0.98
		-11	5.87E-04	6.96E-04	0.2444	0.2322	0.1539	0.2075	0.95
0.65	10	-6	8.35E-06	0.00E+00	0.2830	\ldots	0.0208	\ldots	0.81
		-7	2.45E-05	0.00E+00	0.3434	\ldots	0.0203	\ldots	1.10
		-8	1.01E-04	1.03E-04	0.3754	0.3865	0.0207	0.0215	1.34
		-9	1.61E-04	1.63E-04	0.2540	0.2650	0.1201	0.1350	1.39
		-10	2.55E-04	2.76E-04	0.2407	0.2498	0.1637	0.1786	1.67
		-11	2.58E-04	2.37E-04	0.2570	0.2538	0.1233	0.1847	1.39
		-12	3.94E-04	6.66E-04	0.2660	0.1799	0.0500	0.4458	1.59
		-12.3	5.40E-04	5.04E-04	0.2644	0.2723	0.0504	0.0733	1.51
0.65	30	-6	8.63E-06	0.00E+00	0.2830	\ldots	0.0208	\ldots	0.80
		-7	2.54E-05	0.00E+00	0.3690	\ldots	0.0203	\ldots	1.09
		-8	1.02E-04	1.01E-04	0.3689	0.3801	0.0208	0.0214	1.22
		-9	1.11E-04	1.21E-04	0.2884	0.2956	0.1037	0.1102	1.21
		-10	9.55E-05	1.21E-04	0.2462	0.2489	0.2247	0.2370	1.24
		-11	5.96E-05	9.46E-05	0.1804	0.1817	0.3767	0.3910	1.21
		-12	4.12E-05	9.61E-05	0.1203	0.1216	0.5961	0.6085	1.28
		-12.3	4.44E-05	1.07E-04	0.1149	0.1161	0.6170	0.6300	1.32
0.65	50	-6	8.94E-06	0.00E+00	0.2860	\ldots	0.0206	\ldots	0.80
		-7	2.66E-05	0.00E+00	0.3497	\ldots	0.0203	\ldots	0.97
		-8	1.06E-04	9.88E-05	0.3669	0.3774	0.0207	0.0212	1.31
		-9	7.41E-05	9.16E-05	0.2556	0.2584	0.2098	0.2208	1.16
		-10	5.23E-05	6.72E-05	0.2549	0.2570	0.2442	0.2551	1.20
		-11	3.86E-05	5.36E-05	0.2480	0.2550	0.3100	0.3160	1.09
		-12	4.54E-05	1.11E-04	0.1320	0.1347	0.6049	0.6171	1.33
		-12.3	1.16E-04	2.61E-04	0.1288	0.1472	0.6262	0.6191	1.60
1.00	10	-6	2.05E-06	0.00E+00	0.3260	\ldots	0.0204	\ldots	1.05
		-7	8.96E-06	7.21E-06	0.3421	0.4187	0.0210	0.0223	1.41
		-8	2.06E-05	2.22E-05	0.3044	0.3314	0.0937	0.1002	1.59
		-9	4.66E-05	5.18E-05	0.2676	0.2969	0.1200	0.1270	1.86
		-10	8.40E-05	9.72E-05	0.2427	0.2744	0.1553	0.1620	2.10
		-11	8.72E-05	1.00E-04	0.2475	0.2730	0.1529	0.1917	2.09
		-12	9.28E-05	1.62E-04	0.2429	0.1901	0.0332	0.4770	2.10
		-12.3	1.04E-04	2.00E-04	0.1860	0.1772	0.0136	0.5328	2.31
1.00	30	-6	2.10E-06	0.00E+00	0.3160	\ldots	0.0204	\ldots	1.04
		-7	8.74E-06	5.74E-06	0.3280	0.3535	0.0208	0.0215	1.34
